City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Derzhavinsk,KZ,2022-01-27 16:57:04,51.1,66.3167,9.46,92,100,4.76
1,Bethel,US,2022-01-27 16:57:05,41.3712,-73.414,28.09,53,40,7.76
2,Macenta,GN,2022-01-27 16:57:05,8.5435,-9.471,92.01,12,14,2.93
3,Boa Vista,BR,2022-01-27 16:54:28,2.8197,-60.6733,89.58,43,75,8.05
4,Provideniya,RU,2022-01-27 16:57:06,64.3833,-173.3,-2.27,95,80,1.57
5,Mataura,NZ,2022-01-27 16:57:06,-46.1927,168.8643,41.49,94,98,2.13
6,Mount Gambier,AU,2022-01-27 16:57:06,-37.8333,140.7667,66.11,88,100,4.61
7,Jadu,LY,2022-01-27 16:57:07,31.953,12.0261,45.43,49,100,1.5
8,Hilo,US,2022-01-27 16:57:07,19.7297,-155.09,67.62,81,14,8.01
9,Kibala,TD,2022-01-27 16:57:07,9.1104,18.3463,93.15,18,0,9.22
10,Pangnirtung,CA,2022-01-27 16:57:08,66.1451,-65.7125,-20.2,52,75,3.44
11,Katsuura,JP,2022-01-27 16:57:08,35.1333,140.3,44.19,75,100,12.19
12,Dikson,RU,2022-01-27 16:57:08,73.5069,80.5464,8.33,93,100,27.6
13,Rikitea,PF,2022-01-27 16:57:09,-23.1203,-134.9692,78.08,77,27,19.24
14,Kaitangata,NZ,2022-01-27 16:57:09,-46.2817,169.8464,47.93,87,100,2.62
15,Saskylakh,RU,2022-01-27 16:57:09,71.9167,114.0833,2.8,83,67,11.88
16,Cape Town,ZA,2022-01-27 16:53:57,-33.9258,18.4232,73.09,62,20,24.16
17,Kahului,US,2022-01-27 16:57:10,20.8947,-156.47,65.68,82,4,2.37
18,Bambous Virieux,MU,2022-01-27 16:55:07,-20.3428,57.7575,77.25,78,40,5.75
19,Albany,US,2022-01-27 16:53:44,42.6001,-73.9662,24.94,52,75,1.99
20,Avarua,CK,2022-01-27 16:55:50,-21.2078,-159.775,78.85,94,75,11.5
21,Ushuaia,AR,2022-01-27 16:56:24,-54.8,-68.3,49.66,71,75,19.57
22,Namibe,AO,2022-01-27 16:57:11,-15.1961,12.1522,77.77,79,36,9.75
23,Bluff,NZ,2022-01-27 16:55:16,-46.6,168.3333,41.81,77,94,4.43
24,Port Alfred,ZA,2022-01-27 16:57:11,-33.5906,26.891,75.42,88,39,9.48
